EUW1_6920032840,29.9333,BLUE,RED,4,None,0
EUW1_6920327750,40.35,BLUE,RED,6,BLUE,0
EUW1_6921174928,28.9667,RED,BLUE,4,RED,0
EUW1_6921258281,26.9667,RED,RED,4,RED,1
EUW1_6921432632,47.6667,BLUE,RED,7,RED,0
EUW1_6921519536,34.6167,BLUE,BLUE,4,BLUE,0
EUW1_6921605637,19.0833,BLUE,BLUE,2,None,1
EUW1_6925774566,27.65,BLUE,BLUE,4,BLUE,0
EUW1_6925793018,15.4,RED,BLUE,1,None,1
EUW1_6927353120,30.1333,BLUE,RED,4,RED,0
EUW1_6927626176,34.15,BLUE,BLUE,5,None,0
EUW1_6927876315,33.35,BLUE,BLUE,4,BLUE,0
EUW1_6927933008,21.2,RED,RED,2,None,0
EUW1_6928497844,27.0333,RED,RED,4,RED,0
EUW1_6928536237,40.6667,BLUE,BLUE,6,BLUE,0
EUW1_6929259688,28.1333,BLUE,RED,4,None,0
EUW1_6929285988,33.7,RED,RED,5,RED,0
EUW1_6929744131,36.7667,RED,BLUE,5,BLUE,0
EUW1_6930380858,43.65,BLUE,RED,6,RED,0
EUW1_6930654589,24.7167,BLUE,RED,3,None,0
EUW1_6930880296,36.2833,BLUE,BLUE,5,BLUE,0
EUW1_6930901293,31.4333,RED,BLUE,5,RED,0
EUW1_6930916664,37.9,BLUE,BLUE,5,BLUE,0
EUW1_6930969841,34.5833,BLUE,BLUE,5,RED,0
EUW1_6930982053,31.6167,RED,BLUE,4,RED,0
EUW1_6931029563,29.85,RED,RED,4,None,0
EUW1_6931211290,28.15,BLUE,RED,4,BLUE,0
EUW1_6931277586,30.7333,BLUE,BLUE,4,BLUE,0
EUW1_6931388946,44.1167,RED,RED,7,RED,0
EUW1_6931562964,39.2167,BLUE,BLUE,5,BLUE,0
EUW1_6931602177,36.3833,RED,RED,5,RED,0
EUW1_6931623342,42.5833,BLUE,BLUE,5,BLUE,0
EUW1_6931625870,1.88333,RED,None,0,None,0
