EUW1_6936265297,28,29,81,79,62,84,35,136,8,28
EUW1_6936299448,35,31,222,111,38,555,111,7,136,875
EUW1_6936622201,-1,233,21,48,53,234,21,555,90,-1
EUW1_6936680609,19,143,21,24,99,21,90,48,143,24
EUW1_6936737668,119,7,163,11,-1,555,5,157,200,166
EUW1_6936742403,38,35,126,234,910,222,266,412,157,141
EUW1_6936833184,36,360,121,86,63,53,245,412,11,420
EUW1_6936921480,99,-1,82,11,51,420,266,412,103,53
EUW1_6936965369,17,53,412,238,35,82,266,43,99,777
EUW1_6936974079,114,104,67,222,166,238,18,910,-1,233
EUW1_6937019675,711,412,24,420,53,-1,420,53,136,33
EUW1_6937025358,63,157,122,53,222,157,420,555,-1,498
EUW1_6937044841,25,555,96,420,876,420,238,33,24,25
EUW1_6937076560,360,233,103,9,154,119,777,164,222,38
EUW1_6937104635,77,64,1,266,105,121,55,25,222,24
EUW1_6937133017,72,777,40,119,910,143,157,29,238,266
EUW1_6937200438,17,222,72,54,555,83,84,25,72,22
EUW1_6937201551,106,25,101,420,142,555,86,32,99,54
EUW1_6937205979,11,35,233,29,48,-1,45,51,39,902
EUW1_6937215618,107,99,56,84,82,25,902,420,136,54
EUW1_6937230174,518,53,141,105,2,48,18,54,19,90
EUW1_6937238340,33,202,63,122,38,22,777,141,236,75
EUW1_6937293929,-1,266,32,90,141,154,17,902,222,238
EUW1_6937316162,57,83,-1,360,238,101,266,84,33,121
EUW1_6937331383,235,111,-1,106,56,86,266,910,22,35
EUW1_6937342135,895,114,99,33,131,223,157,53,21,45
EUW1_6937342852,141,56,122,82,157,360,420,111,35,157
EUW1_6937347229,141,266,82,-1,81,143,17,35,157,555
EUW1_6937350072,157,105,222,75,11,360,901,141,36,7
EUW1_6937356156,11,22,17,777,21,51,154,111,157,420
EUW1_6937376528,122,21,119,235,711,53,90,420,18,236
EUW1_6937384511,-1,777,25,90,420,24,11,136,-1,39
EUW1_6937402164,238,141,22,555,420,63,234,53,35,72
EUW1_6937404373,134,51,233,24,17,234,82,51,90,875
EUW1_6937423349,420,72,63,55,222,55,53,99,11,82
EUW1_6937476340,222,131,518,35,75,64,84,23,40,-1
EUW1_6937513776,233,85,55,29,19,63,555,517,51,235
EUW1_6937515222,266,-1,25,80,32,360,876,233,111,238
EUW1_6937551872,222,-1,164,555,777,233,29,-1,2,200
EUW1_6937561186,82,64,51,555,45,122,-1,157,555,56
EUW1_6937594284,51,107,72,266,-1,86,53,950,234,412
EUW1_6937595541,63,53,105,420,711,64,11,51,90,360
EUW1_6937600038,420,234,555,39,22,86,35,119,64,84
EUW1_6937606015,25,122,238,119,64,11,111,420,517,119
EUW1_6937627752,90,412,266,53,166,56,143,99,11,24
EUW1_6937637961,29,223,555,21,90,555,420,18,777,11
